ticker,last_date_x,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason,cagr,max_dd,winrate,n_days,n_trades,last_date_y
NEWGEN.NS,2025-09-12,2025-09-12,887.5,0.765,False,,0.49,False,HOLD,,,28.09,46.085,843746,Technology,Software - Infrastructure,,False,False,False,False,0.0317,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
IREDA.NS,2025-09-12,2025-09-12,147.35,0.526,False,,0.59,False,HOLD,,,2.905,51.332,4501156,Financial Services,Credit Services,,False,False,False,False,0.0197,True,True,,,0.0,0.0,0.0,430,0,2025-09-12
ZYDUSLIFE.NS,2025-09-12,2025-09-12,1044.75,0.223,False,,0.66,True,HOLD,,,20.232,69.146,1090057,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0194,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
PERSISTENT.NS,2025-09-12,2025-09-12,5411.0,0.308,False,,0.66,False,SELL,5548.07,5205.4,137.066,54.529,417037,Technology,Information Technology Services,1.5,False,False,False,False,0.0253,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
ITC.NS,2025-09-12,2025-09-12,413.75,0.356,False,,0.69,False,SELL,419.35,405.34,5.604,54.573,14284125,Consumer Defensive,Tobacco,1.5,False,False,False,False,0.0135,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BPCL.NS,2025-09-12,2025-09-12,318.0,0.139,False,,0.59,False,SELL,324.62,308.07,6.619,49.914,5039748,Energy,Oil & Gas Refining & Marketing,1.5,False,False,False,True,0.0208,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BALKRISIND.NS,2025-09-12,2025-09-12,2388.7,0.549,False,,0.68,False,HOLD,,,63.431,48.516,210269,Consumer Cyclical,Auto Parts,,False,False,False,False,0.0266,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
ASHOKLEY.NS,2025-09-12,2025-09-12,134.09,0.262,False,,0.7,True,HOLD,,,3.539,59.945,19333070,Industrials,Farm & Heavy Construction Machinery,,False,False,False,True,0.0264,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
ADANIENT.NS,2025-09-12,2025-09-12,2392.0,0.382,False,,0.48,False,HOLD,,,49.177,58.028,665859,Energy,Thermal Coal,,False,False,False,False,0.0206,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TORNTPHARM.NS,2025-09-12,2025-09-12,3566.2,0.082,False,,0.66,True,HOLD,,,64.816,46.188,197074,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0182,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HDFCBANK.NS,2025-09-12,2025-09-12,967.3,0.211,False,,0.63,False,SELL,979.2,949.45,11.899,44.886,15074083,Financial Services,Banks - Regional,1.5,False,False,False,True,0.0123,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
OFSS.NS,2025-09-12,2025-09-12,8979.0,0.517,False,,0.5,False,HOLD,,,282.24,59.678,248247,Technology,Software - Infrastructure,,False,True,False,False,0.0314,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
UPL.NS,2025-09-12,2025-09-12,693.1,0.681,False,,0.69,True,HOLD,,,18.369,45.183,2228298,Basic Materials,Agricultural Inputs,,False,False,False,True,0.0265,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
COFORGE.NS,2025-09-12,2025-09-12,1764.0,0.382,False,,0.51,False,SELL,1810.51,1694.24,46.508,55.775,1414442,Technology,Information Technology Services,1.5,False,False,False,True,0.0264,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
PETRONET.NS,2025-09-12,2025-09-12,277.95,0.336,False,,0.62,False,SELL,283.15,270.15,5.198,49.681,1598978,Energy,Oil & Gas Refining & Marketing,1.5,False,True,False,False,0.0187,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
