ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
SBIN.NS,2025-09-12,2025-09-12,823.55,0.151,False,,0.59,True,HOLD,,,8.857,60.615,5311675,Financial Services,Banks - Regional,,False,False,False,True,0.0108,True,True,,
TIINDIA.NS,2025-09-12,2025-09-12,3231.2,0.398,False,,0.64,True,HOLD,,,93.222,63.408,408085,Industrials,Conglomerates,,False,False,False,True,0.0289,True,True,,
TATASTEEL.NS,2025-09-12,2025-09-12,169.78,0.215,False,,0.56,True,HOLD,,,3.105,66.53,23316439,Basic Materials,Steel,,False,False,False,True,0.0183,True,True,,
AUROPHARMA.NS,2025-09-12,2025-09-12,1094.4,0.202,False,,0.49,False,SELL,1121.05,1054.43,26.645,58.77,1518416,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,False,False,False,False,0.0243,True,True,,
CUMMINSIND.NS,2025-09-12,2025-09-12,4030.4,0.056,False,,0.7,True,HOLD,,,75.177,72.852,454343,Industrials,Specialty Industrial Machinery,,False,False,False,True,0.0187,True,True,,
LT.NS,2025-09-12,2025-09-12,3579.8,0.304,False,,0.58,False,SELL,3630.93,3503.11,51.126,50.544,1269147,Industrials,Engineering & Construction,1.5,False,False,False,True,0.0143,True,True,,
POLYCAB.NS,2025-09-12,2025-09-12,7254.5,0.29,False,,0.63,True,HOLD,,,122.899,61.831,191354,Industrials,Electrical Equipment & Parts,,False,False,False,True,0.0169,True,True,,
ICICIBANK.NS,2025-09-12,2025-09-12,1417.7,0.31,False,,0.68,False,SELL,1433.86,1393.47,16.156,49.703,7307837,Financial Services,Banks - Regional,1.5,False,False,False,True,0.0114,True,True,,
INDHOTEL.NS,2025-09-12,2025-09-12,777.7,0.547,False,,0.69,True,HOLD,,,13.608,56.446,2198518,Consumer Cyclical,Lodging,,False,False,True,True,0.0175,True,True,,
IRCTC.NS,2025-09-12,2025-09-12,722.2,0.244,False,,0.69,False,SELL,731.43,708.35,9.231,50.931,669613,Industrials,Railroads,1.5,False,False,False,False,0.0128,True,True,,
SBICARD.NS,2025-09-12,2025-09-12,856.15,0.786,False,,0.57,False,HOLD,,,18.655,64.462,773143,Financial Services,Credit Services,,False,False,False,False,0.0218,True,True,,
PIIND.NS,2025-09-12,2025-09-12,3701.0,0.553,False,,0.58,False,HOLD,,,81.294,39.598,143229,Basic Materials,Agricultural Inputs,,False,False,False,False,0.022,True,True,,
ARVIND.NS,2025-09-12,2025-09-12,326.8,0.362,False,,0.48,False,HOLD,,,10.597,63.61,346819,Consumer Cyclical,Textile Manufacturing,,False,True,False,False,0.0324,True,True,,
FEDERALBNK.NS,2025-09-12,2025-09-12,194.36,0.578,False,,0.69,False,HOLD,,,3.184,46.175,5308248,Financial Services,Banks - Regional,,False,False,False,False,0.0164,True,True,,
CIPLA.NS,2025-09-12,2025-09-12,1574.6,0.134,False,,0.65,True,HOLD,,,24.382,55.888,1090199,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0155,True,True,,
INDUSTOWER.NS,2025-09-12,2025-09-12,361.85,0.097,False,,0.62,False,SELL,371.58,347.25,9.734,59.901,11135774,Communication Services,Telecom Services,1.5,True,False,False,False,0.0269,True,True,,
HINDUNILVR.NS,2025-09-12,2025-09-12,2580.5,0.729,False,,0.63,True,HOLD,2529.96,2656.3,50.535,46.201,1724636,Consumer Defensive,Household & Personal Products,1.5,False,False,False,True,0.0196,True,True,,
TORNTPOWER.NS,2025-09-12,2025-09-12,1267.8,0.81,False,,0.7,False,HOLD,,,30.098,44.058,626478,Utilities,Utilities - Independent Power Producers,,False,False,False,False,0.0237,True,True,,
OBEROIRLTY.NS,2025-09-12,2025-09-12,1601.9,0.511,False,,0.7,False,HOLD,,,34.678,37.441,404581,Real Estate,Real Estate - Development,,False,True,False,False,0.0216,True,True,,
GUJGASLTD.NS,2025-09-12,2025-09-12,431.05,0.92,False,,0.7,False,HOLD,,,10.935,46.501,269028,Utilities,Utilities - Regulated Gas,,False,False,False,False,0.0254,True,True,,
BANKBARODA.NS,2025-09-12,2025-09-12,237.48,0.615,False,,0.7,False,HOLD,,,4.118,48.769,6111762,Financial Services,Banks - Regional,,False,False,False,True,0.0173,True,True,,
SRF.NS,2025-09-12,2025-09-12,2971.7,0.471,False,,0.52,False,HOLD,,,61.376,54.239,375907,Industrials,Conglomerates,,False,False,False,False,0.0207,True,True,,
HDFCAMC.NS,2025-09-12,2025-09-12,5798.5,0.067,False,,0.69,True,HOLD,,,117.396,59.726,359780,Financial Services,Asset Management,,False,False,False,True,0.0202,True,True,,
BAJAJ-AUTO.NS,2025-09-12,2025-09-12,8999.5,0.397,False,,0.46,True,HOLD,,,198.471,56.315,516897,Consumer Cyclical,Auto Manufacturers,,False,False,True,True,0.0221,True,True,,
MARICO.NS,2025-09-12,2025-09-12,734.55,0.436,False,,0.58,True,HOLD,,,12.915,55.439,1813720,Consumer Defensive,Household & Personal Products,,False,False,True,True,0.0176,True,True,,
SUPREMEIND.NS,2025-09-12,2025-09-12,4532.7,0.794,False,,0.69,True,HOLD,4414.44,4710.09,118.259,54.666,172092,Industrials,Building Products & Equipment,1.5,False,True,False,True,0.0261,True,True,,
HEROMOTOCO.NS,2025-09-12,2025-09-12,5301.5,0.508,False,,0.63,True,HOLD,,,120.734,66.276,1009313,Consumer Cyclical,Auto Manufacturers,,False,False,False,True,0.0228,True,True,,
HINDPETRO.NS,2025-09-12,2025-09-12,398.75,0.22,False,,0.47,False,SELL,407.46,385.69,8.706,53.204,2866398,Energy,Oil & Gas Refining & Marketing,1.5,False,False,False,True,0.0218,True,True,,
GOKEX.NS,2025-09-12,2025-09-12,764.95,0.92,False,,0.58,False,HOLD,,,31.461,51.333,545749,Consumer Cyclical,Apparel Manufacturing,,False,False,False,False,0.0411,True,True,,
SUZLON.NS,2025-09-12,2025-09-12,57.11,0.38,False,,0.68,False,HOLD,,,1.389,39.272,55691184,Industrials,Specialty Industrial Machinery,,False,False,False,False,0.0243,True,True,,
WIPRO.NS,2025-09-12,2025-09-12,251.94,0.4,False,,0.56,False,HOLD,,,4.996,52.986,7929294,Technology,Information Technology Services,,False,False,False,False,0.0198,True,True,,
