ticker,feature,psi
MRF.NS,atr,1.015
MRF.NS,ema_20,26.8173
MRF.NS,ema_50,29.9681
MRF.NS,ema_200,30.3254
MRF.NS,ret_1,0.0715
MRF.NS,ret_5,0.15
MRF.NS,ret_10,0.1357
DEEPAKNTR.NS,rsi,0.1506
DEEPAKNTR.NS,atr,0.1053
DEEPAKNTR.NS,ema_20,4.5339
DEEPAKNTR.NS,ema_50,7.7474
DEEPAKNTR.NS,ema_200,16.0234
DEEPAKNTR.NS,ret_1,0.0905
DEEPAKNTR.NS,ret_5,0.1074
DEEPAKNTR.NS,ret_10,0.2356
TORNTPOWER.NS,rsi,0.0548
TORNTPOWER.NS,atr,16.6517
TORNTPOWER.NS,ema_20,26.4771
TORNTPOWER.NS,ema_50,26.4169
TORNTPOWER.NS,ema_200,30.0276
TORNTPOWER.NS,ret_1,0.0899
TORNTPOWER.NS,ret_5,0.1134
TORNTPOWER.NS,ret_10,0.1146
ADANIENT.NS,rsi,0.7624
ADANIENT.NS,atr,1.653
ADANIENT.NS,ema_20,10.2484
ADANIENT.NS,ema_50,12.9934
ADANIENT.NS,ema_200,16.4597
ADANIENT.NS,ret_1,0.1213
ADANIENT.NS,ret_5,0.2687
ADANIENT.NS,ret_10,0.5931
BALKRISIND.NS,rsi,0.1087
BALKRISIND.NS,atr,0.6782
BALKRISIND.NS,ema_20,12.6677
BALKRISIND.NS,ema_50,15.9668
BALKRISIND.NS,ema_200,22.9127
BALKRISIND.NS,ret_1,0.0869
BALKRISIND.NS,ret_5,0.0746
BALKRISIND.NS,ret_10,0.0853
TATACOMM.NS,rsi,0.0701
TATACOMM.NS,atr,0.312
TATACOMM.NS,ema_20,23.1977
TATACOMM.NS,ema_50,23.1246
TATACOMM.NS,ema_200,26.2887
TATACOMM.NS,ret_1,0.0689
TATACOMM.NS,ret_5,0.0918
TATACOMM.NS,ret_10,0.104
CIPLA.NS,rsi,0.1217
CIPLA.NS,atr,8.8364
CIPLA.NS,ema_20,19.57
CIPLA.NS,ema_50,22.8088
CIPLA.NS,ema_200,30.036
CIPLA.NS,ret_1,0.0294
CIPLA.NS,ret_5,0.0363
CIPLA.NS,ret_10,0.0867
HDFCLIFE.NS,rsi,0.1538
HDFCLIFE.NS,atr,0.4599
HDFCLIFE.NS,ema_20,1.3068
HDFCLIFE.NS,ema_50,1.5198
HDFCLIFE.NS,ema_200,0.5966
HDFCLIFE.NS,ret_1,0.0245
HDFCLIFE.NS,ret_5,0.0646
HDFCLIFE.NS,ret_10,0.062
AUROPHARMA.NS,rsi,0.5414
AUROPHARMA.NS,atr,1.8891
AUROPHARMA.NS,ema_20,12.1213
AUROPHARMA.NS,ema_50,11.9615
AUROPHARMA.NS,ema_200,12.0084
AUROPHARMA.NS,ret_1,0.0312
AUROPHARMA.NS,ret_5,0.0896
AUROPHARMA.NS,ret_10,0.1521
ASIANPAINT.NS,rsi,0.1388
ASIANPAINT.NS,atr,8.6663
ASIANPAINT.NS,ema_20,0.3065
ASIANPAINT.NS,ema_50,0.2782
ASIANPAINT.NS,ema_200,4.1434
ASIANPAINT.NS,ret_1,0.1197
ASIANPAINT.NS,ret_5,0.1619
ASIANPAINT.NS,ret_10,0.1952
ICICIPRULI.NS,rsi,0.066
ICICIPRULI.NS,atr,0.1116
ICICIPRULI.NS,ema_20,1.1157
ICICIPRULI.NS,ema_50,1.4067
ICICIPRULI.NS,ema_200,11.6035
ICICIPRULI.NS,ret_1,0.0369
ICICIPRULI.NS,ret_5,0.0319
ICICIPRULI.NS,ret_10,0.0791
HINDUNILVR.NS,rsi,0.0553
HINDUNILVR.NS,atr,4.0012
HINDUNILVR.NS,ema_20,4.1777
HINDUNILVR.NS,ema_50,4.4433
HINDUNILVR.NS,ema_200,18.8349
HINDUNILVR.NS,ret_1,0.0579
HINDUNILVR.NS,ret_5,0.0226
HINDUNILVR.NS,ret_10,0.1233
BAJAJ-AUTO.NS,rsi,0.3507
BAJAJ-AUTO.NS,atr,12.1897
BAJAJ-AUTO.NS,ema_20,27.038
BAJAJ-AUTO.NS,ema_50,26.9372
BAJAJ-AUTO.NS,ema_200,27.2921
BAJAJ-AUTO.NS,ret_1,0.0257
BAJAJ-AUTO.NS,ret_5,0.0687
BAJAJ-AUTO.NS,ret_10,0.1147
IEX.NS,rsi,0.0476
IEX.NS,atr,0.9093
IEX.NS,ema_20,8.03
IEX.NS,ema_50,8.0052
IEX.NS,ema_200,12.8652
IEX.NS,ret_1,0.0418
IEX.NS,ret_5,0.0098
IEX.NS,ret_10,0.0223
INDUSINDBK.NS,rsi,0.0986
INDUSINDBK.NS,atr,0.24
INDUSINDBK.NS,ema_20,9.1328
INDUSINDBK.NS,ema_50,9.3796
INDUSINDBK.NS,ema_200,15.8925
INDUSINDBK.NS,ret_1,0.1072
INDUSINDBK.NS,ret_5,0.1647
INDUSINDBK.NS,ret_10,0.2524
PVRINOX.NS,rsi,0.1907
PVRINOX.NS,atr,0.283
PVRINOX.NS,ema_20,14.8467
PVRINOX.NS,ema_50,18.6313
PVRINOX.NS,ema_200,36.0404
PVRINOX.NS,ret_1,0.2681
PVRINOX.NS,ret_5,0.121
PVRINOX.NS,ret_10,0.1336
NHPC.NS,rsi,0.0301
NHPC.NS,atr,19.7252
NHPC.NS,ema_20,30.1413
NHPC.NS,ema_50,30.1637
NHPC.NS,ema_200,37.2473
NHPC.NS,ret_1,0.0245
NHPC.NS,ret_5,0.0373
NHPC.NS,ret_10,0.0295
METROPOLIS.NS,rsi,0.2236
METROPOLIS.NS,atr,12.156
METROPOLIS.NS,ema_20,5.1164
METROPOLIS.NS,ema_50,8.4389
METROPOLIS.NS,ema_200,12.1023
METROPOLIS.NS,ret_1,0.0868
METROPOLIS.NS,ret_5,0.2329
METROPOLIS.NS,ret_10,0.3783
ADANIPORTS.NS,rsi,0.0564
ADANIPORTS.NS,atr,0.9452
ADANIPORTS.NS,ema_20,15.4746
ADANIPORTS.NS,ema_50,15.8241
ADANIPORTS.NS,ema_200,22.4629
ADANIPORTS.NS,ret_1,0.11
ADANIPORTS.NS,ret_5,0.1049
ADANIPORTS.NS,ret_10,0.1916
COALINDIA.NS,rsi,0.0113
COALINDIA.NS,atr,12.0395
COALINDIA.NS,ema_20,26.7104
COALINDIA.NS,ema_50,27.1424
COALINDIA.NS,ema_200,31.1995
COALINDIA.NS,ret_1,0.0733
COALINDIA.NS,ret_5,0.0836
COALINDIA.NS,ret_10,0.1689
DIVISLAB.NS,rsi,0.1493
DIVISLAB.NS,atr,0.6783
DIVISLAB.NS,ema_20,7.8185
DIVISLAB.NS,ema_50,4.7679
DIVISLAB.NS,ema_200,5.0425
DIVISLAB.NS,ret_1,0.0712
DIVISLAB.NS,ret_5,0.0638
DIVISLAB.NS,ret_10,0.0986
PNB.NS,rsi,0.0666
PNB.NS,atr,9.2555
PNB.NS,ema_20,29.8124
PNB.NS,ema_50,29.8124
PNB.NS,ema_200,37.2473
PNB.NS,ret_1,0.0486
PNB.NS,ret_5,0.0339
PNB.NS,ret_10,0.1494
IRCTC.NS,rsi,0.1217
IRCTC.NS,atr,0.1529
IRCTC.NS,ema_20,8.0337
IRCTC.NS,ema_50,11.7011
IRCTC.NS,ema_200,19.7203
IRCTC.NS,ret_1,0.1024
IRCTC.NS,ret_5,0.1687
IRCTC.NS,ret_10,0.1735
BAJFINANCE.NS,rsi,0.079
BAJFINANCE.NS,atr,0.1979
BAJFINANCE.NS,ema_20,8.1636
BAJFINANCE.NS,ema_50,8.214
BAJFINANCE.NS,ema_200,22.8541
BAJFINANCE.NS,ret_1,0.1
BAJFINANCE.NS,ret_5,0.0698
BAJFINANCE.NS,ret_10,0.2001
ULTRACEMCO.NS,rsi,0.1424
ULTRACEMCO.NS,atr,5.2656
ULTRACEMCO.NS,ema_20,26.7452
ULTRACEMCO.NS,ema_50,26.6605
ULTRACEMCO.NS,ema_200,27.0203
ULTRACEMCO.NS,ret_1,0.0547
ULTRACEMCO.NS,ret_5,0.0707
ULTRACEMCO.NS,ret_10,0.0921
TATAMOTORS.NS,rsi,0.0748
TATAMOTORS.NS,atr,5.292
TATAMOTORS.NS,ema_20,23.5646
TATAMOTORS.NS,ema_50,23.4774
TATAMOTORS.NS,ema_200,30.0804
TATAMOTORS.NS,ret_1,0.0957
TATAMOTORS.NS,ret_5,0.1167
TATAMOTORS.NS,ret_10,0.0578
TATAELXSI.NS,rsi,0.3296
TATAELXSI.NS,atr,1.2257
TATAELXSI.NS,ema_20,5.2554
TATAELXSI.NS,ema_50,8.4941
TATAELXSI.NS,ema_200,11.8334
TATAELXSI.NS,ret_1,0.2636
TATAELXSI.NS,ret_5,0.3192
TATAELXSI.NS,ret_10,0.4292
NTPC.NS,rsi,0.0409
NTPC.NS,atr,16.3518
NTPC.NS,ema_20,30.8681
NTPC.NS,ema_50,37.2473
NTPC.NS,ema_200,37.2473
NTPC.NS,ret_1,0.0217
NTPC.NS,ret_5,0.0189
NTPC.NS,ret_10,0.028
WIPRO.NS,rsi,0.0596
WIPRO.NS,atr,0.203
WIPRO.NS,ema_20,0.9623
WIPRO.NS,ema_50,0.856
WIPRO.NS,ema_200,8.2228
WIPRO.NS,ret_1,0.0294
WIPRO.NS,ret_5,0.0357
WIPRO.NS,ret_10,0.0522
INDUSTOWER.NS,rsi,0.3652
INDUSTOWER.NS,atr,0.6823
INDUSTOWER.NS,ema_20,9.3481
INDUSTOWER.NS,ema_50,9.9132
INDUSTOWER.NS,ema_200,13.2898
INDUSTOWER.NS,ret_1,0.0279
INDUSTOWER.NS,ret_5,0.0733
INDUSTOWER.NS,ret_10,0.0768
PHOENIXLTD.NS,rsi,0.0417
PHOENIXLTD.NS,atr,16.2665
PHOENIXLTD.NS,ema_20,26.6742
PHOENIXLTD.NS,ema_50,29.8303
PHOENIXLTD.NS,ema_200,30.4297
PHOENIXLTD.NS,ret_1,0.0548
PHOENIXLTD.NS,ret_5,0.0147
PHOENIXLTD.NS,ret_10,0.0801
HINDALCO.NS,rsi,0.0271
HINDALCO.NS,atr,0.2459
HINDALCO.NS,ema_20,15.4342
HINDALCO.NS,ema_50,15.5318
HINDALCO.NS,ema_200,22.5199
HINDALCO.NS,ret_1,0.2182
HINDALCO.NS,ret_5,0.3038
HINDALCO.NS,ret_10,0.2832
OIL.NS,rsi,0.0622
OIL.NS,atr,12.3911
OIL.NS,ema_20,30.4297
OIL.NS,ema_50,30.7232
OIL.NS,ema_200,31.0648
OIL.NS,ret_1,0.0135
OIL.NS,ret_5,0.0669
OIL.NS,ret_10,0.0714
UPL.NS,rsi,0.0687
UPL.NS,atr,5.8725
UPL.NS,ema_20,8.804
UPL.NS,ema_50,12.5934
UPL.NS,ema_200,8.9598
UPL.NS,ret_1,0.0607
UPL.NS,ret_5,0.0814
UPL.NS,ret_10,0.1089
OFSS.NS,rsi,0.2451
OFSS.NS,atr,12.1471
OFSS.NS,ema_20,18.9644
OFSS.NS,ema_50,15.6869
OFSS.NS,ema_200,15.2545
OFSS.NS,ret_1,0.0512
OFSS.NS,ret_5,0.122
OFSS.NS,ret_10,0.146
NMDC.NS,rsi,0.0997
NMDC.NS,atr,6.8216
NMDC.NS,ema_20,19.9633
NMDC.NS,ema_50,19.4207
NMDC.NS,ema_200,20.2313
NMDC.NS,ret_1,0.0486
NMDC.NS,ret_5,0.0329
NMDC.NS,ret_10,0.1281
HDFCBANK.NS,rsi,0.0753
HDFCBANK.NS,atr,1.0151
HDFCBANK.NS,ema_20,11.8949
HDFCBANK.NS,ema_50,15.6062
HDFCBANK.NS,ema_200,30.12
HDFCBANK.NS,ret_1,0.1102
HDFCBANK.NS,ret_5,0.0962
HDFCBANK.NS,ret_10,0.1219
MARUTI.NS,rsi,0.0927
MARUTI.NS,atr,0.6205
MARUTI.NS,ema_20,26.6321
MARUTI.NS,ema_50,26.522
MARUTI.NS,ema_200,30.212
MARUTI.NS,ret_1,0.0607
MARUTI.NS,ret_5,0.0484
MARUTI.NS,ret_10,0.052
BRITANNIA.NS,rsi,0.0954
BRITANNIA.NS,atr,5.4485
BRITANNIA.NS,ema_20,30.0804
BRITANNIA.NS,ema_50,30.12
BRITANNIA.NS,ema_200,37.2473
BRITANNIA.NS,ret_1,0.034
BRITANNIA.NS,ret_5,0.0304
BRITANNIA.NS,ret_10,0.0667
AIAENG.NS,rsi,0.1386
AIAENG.NS,atr,9.5092
AIAENG.NS,ema_20,37.2473
AIAENG.NS,ema_50,37.2473
AIAENG.NS,ema_200,37.2473
