Date,Open,High,Low,Close,AdjClose,Volume
2021-01-21,281.0,299.0,280.0,290.6000061035156,286.34393310546875,283614463
2021-01-22,295.95001220703125,306.8999938964844,278.3500061035156,289.3500061035156,285.11224365234375,316008609
2021-01-25,296.8999938964844,299.5,277.3500061035156,279.1499938964844,275.0616149902344,164346913
2021-01-27,274.8999938964844,275.0,265.70001220703125,267.5,263.582275390625,126586833
2021-01-28,260.04998779296875,273.3999938964844,259.04998779296875,266.79998779296875,262.8924865722656,129156876
2021-01-29,273.0,278.79998779296875,260.6000061035156,262.70001220703125,258.8525390625,138442348
2021-02-01,269.75,282.0,255.35000610351562,279.6000061035156,275.5050354003906,165655500
2021-02-02,293.6000061035156,328.8500061035156,290.3999938964844,322.0,317.2840270996094,251965965
2021-02-03,339.20001220703125,341.8999938964844,326.20001220703125,331.0,326.1522521972656,224190114
2021-02-04,329.0,334.5,322.45001220703125,326.1499938964844,321.373291015625,121033002
2021-02-05,327.6000061035156,330.0,312.6000061035156,315.8999938964844,311.27337646484375,103512235
2021-02-08,318.75,339.25,318.0,335.95001220703125,331.02972412109375,102123614
2021-02-09,337.0,338.5,322.20001220703125,325.04998779296875,320.28936767578125,105981081
2021-02-10,326.0,332.6499938964844,319.5,328.8999938964844,324.0830078125,93466949
2021-02-11,326.45001220703125,331.3500061035156,323.3999938964844,325.0,320.2401123046875,55257166
2021-02-12,326.3999938964844,330.5,321.25,325.3999938964844,320.6342468261719,64093642
2021-02-15,329.8999938964844,335.79998779296875,324.0,333.3500061035156,328.46783447265625,78680452
2021-02-16,335.45001220703125,337.8999938964844,327.5,329.20001220703125,324.3786315917969,65943843
2021-02-17,326.8999938964844,334.25,325.45001220703125,330.1499938964844,325.314697265625,52150941
2021-02-18,331.5,331.75,321.1000061035156,323.8500061035156,319.1069641113281,49204247
2021-02-19,321.95001220703125,321.95001220703125,301.3999938964844,311.8500061035156,307.28271484375,80274683
2021-02-22,312.45001220703125,313.8999938964844,302.1499938964844,304.5,300.04034423828125,57723298
2021-02-23,308.5,328.8999938964844,308.5,324.0,319.2547607421875,133310157
2021-02-24,325.0,330.0,316.5,321.6499938964844,316.9391784667969,50821757
2021-02-25,325.3500061035156,334.70001220703125,323.25,333.1499938964844,328.270751953125,64514912
2021-02-26,323.0,332.95001220703125,318.8500061035156,322.95001220703125,318.2201843261719,91901339
2021-03-01,330.0,331.8500061035156,322.70001220703125,328.29998779296875,323.4917907714844,61190868
2021-03-02,331.1000061035156,347.20001220703125,326.45001220703125,345.75,340.68621826171875,127708761
2021-03-03,348.6499938964844,357.0,346.5,348.5,343.39593505859375,92006451
2021-03-04,339.0,345.3999938964844,337.29998779296875,339.20001220703125,334.232177734375,59863169
2021-03-05,333.0,337.8500061035156,319.70001220703125,325.1499938964844,320.38787841796875,86738909
2021-03-08,331.75,331.75,318.79998779296875,321.25,316.5450439453125,81925952
2021-03-09,325.0,328.3500061035156,309.6000061035156,315.20001220703125,310.58367919921875,74702208
2021-03-10,319.5,324.45001220703125,316.70001220703125,321.45001220703125,316.74212646484375,58643853
2021-03-12,325.04998779296875,326.5,314.1499938964844,317.54998779296875,312.89923095703125,48360842
2021-03-15,320.0,320.3999938964844,310.04998779296875,318.54998779296875,313.88458251953125,45081385
2021-03-16,321.0,321.8999938964844,315.1000061035156,319.95001220703125,315.26409912109375,39267404
2021-03-17,318.6000061035156,320.0,304.0,305.79998779296875,301.3212890625,47262481
2021-03-18,311.0,316.6000061035156,299.75,307.0,302.5037536621094,73731921
2021-03-19,303.5,311.0,290.20001220703125,308.95001220703125,304.4252014160156,109932681
2021-03-22,306.45001220703125,307.5,300.1000061035156,303.04998779296875,298.6115417480469,56385019
2021-03-23,305.0,312.25,304.0,307.3999938964844,302.8978576660156,60240483
2021-03-24,303.54998779296875,305.0,293.20001220703125,294.45001220703125,290.1375427246094,61523819
2021-03-25,294.0,294.0,282.25,285.54998779296875,281.3678894042969,84528317
2021-03-26,290.5,301.3999938964844,290.5,296.3999938964844,292.0589904785156,80924011
2021-03-30,300.5,301.29998779296875,292.70001220703125,297.04998779296875,292.6994323730469,45257233
2021-03-31,299.0,307.5,297.5,301.79998779296875,297.3799133300781,58569012
2021-04-01,306.75,309.8500061035156,303.04998779296875,307.75,303.2427673339844,44088352
2021-04-05,306.79998779296875,311.70001220703125,297.20001220703125,305.04998779296875,300.582275390625,66178755
2021-04-06,306.1499938964844,313.79998779296875,304.79998779296875,307.75,303.2427673339844,63031783
2021-04-07,306.75,310.6499938964844,305.1000061035156,307.79998779296875,303.2920227050781,39073986
2021-04-08,307.8999938964844,319.79998779296875,307.5,313.95001220703125,309.3519592285156,62459774
2021-04-09,313.20001220703125,325.0,312.5,318.20001220703125,313.53973388671875,75462572
2021-04-12,307.8500061035156,307.8500061035156,282.8999938964844,286.54998779296875,282.3532409667969,105342538
2021-04-13,287.25,304.54998779296875,280.54998779296875,302.8500061035156,298.4145202636719,116874853
2021-04-15,303.0,307.54998779296875,296.5,303.5,299.0550231933594,75262749
2021-04-16,302.0,315.0,300.1499938964844,310.0,305.4598083496094,75330709
2021-04-19,295.0,304.5,292.79998779296875,301.3999938964844,296.9857482910156,65791784
2021-04-20,307.70001220703125,308.1499938964844,294.20001220703125,298.04998779296875,293.684814453125,56740291
2021-04-22,294.0,302.5,292.20001220703125,294.54998779296875,290.2360534667969,61022978
2021-04-23,291.0,300.0,290.5,294.0,289.6941223144531,58158986
2021-04-26,297.0,299.0,294.6000061035156,295.3999938964844,291.0736389160156,30583139
2021-04-27,295.70001220703125,302.5,295.1000061035156,301.5,297.08428955078125,35040532
2021-04-28,303.5,309.5,303.0,305.8999938964844,301.41986083984375,44668126
2021-04-29,308.8999938964844,310.0,301.25,301.8999938964844,297.4784240722656,36647292
2021-04-30,298.20001220703125,301.29998779296875,292.54998779296875,293.8500061035156,289.54632568359375,36121668
2021-05-03,289.29998779296875,294.75,285.0,293.0,288.70880126953125,35376618
2021-05-04,296.3500061035156,299.75,288.04998779296875,289.45001220703125,285.2107849121094,38640006
2021-05-05,293.5,293.8999938964844,288.5,291.5,287.2307434082031,29350536
2021-05-06,291.5,302.0,290.29998779296875,301.25,296.83795166015625,45032502
2021-05-07,303.0,305.95001220703125,300.5,302.75,298.31597900390625,41591323
2021-05-10,304.5,315.70001220703125,304.0,314.8500061035156,310.23876953125,53260388
2021-05-11,309.54998779296875,320.75,308.1000061035156,315.54998779296875,310.92852783203125,58472304
2021-05-12,318.25,334.75,316.25,326.0,321.2254943847656,111584920
2021-05-14,329.3500061035156,329.5,310.0,312.25,307.6768798828125,81305325
2021-05-17,315.3999938964844,323.8500061035156,311.3999938964844,321.1000061035156,316.397216796875,51162423
2021-05-18,325.95001220703125,336.6499938964844,324.0,332.45001220703125,327.5810241699219,86153088
2021-05-19,313.0,322.95001220703125,312.1000061035156,314.45001220703125,309.84466552734375,119407026
2021-05-20,316.0,316.6000061035156,306.1000061035156,307.70001220703125,303.1935119628906,54043899
