ticker,feature,psi
SUPREMEIND.NS,ema_50,30.5884
SUPREMEIND.NS,ema_200,37.2489
SUPREMEIND.NS,ret_1,0.0467
SUPREMEIND.NS,ret_5,0.0319
SUPREMEIND.NS,ret_10,0.0893
PHOENIXLTD.NS,rsi,0.0416
PHOENIXLTD.NS,atr,16.2857
PHOENIXLTD.NS,ema_20,26.6813
PHOENIXLTD.NS,ema_50,29.8128
PHOENIXLTD.NS,ema_200,30.4096
PHOENIXLTD.NS,ret_1,0.053
PHOENIXLTD.NS,ret_5,0.0164
PHOENIXLTD.NS,ret_10,0.0835
PIIND.NS,rsi,0.0846
PIIND.NS,atr,0.1032
PIIND.NS,ema_20,23.2211
PIIND.NS,ema_50,26.5128
PIIND.NS,ema_200,30.0039
PIIND.NS,ret_1,0.1588
PIIND.NS,ret_5,0.0894
PIIND.NS,ret_10,0.0757
DEEPAKNTR.NS,rsi,0.1443
DEEPAKNTR.NS,atr,0.1059
DEEPAKNTR.NS,ema_20,4.5315
DEEPAKNTR.NS,ema_50,7.7531
DEEPAKNTR.NS,ema_200,16.0319
DEEPAKNTR.NS,ret_1,0.0909
DEEPAKNTR.NS,ret_5,0.1063
DEEPAKNTR.NS,ret_10,0.2353
PETRONET.NS,rsi,0.0384
PETRONET.NS,atr,4.849
PETRONET.NS,ema_20,12.2936
PETRONET.NS,ema_50,12.279
PETRONET.NS,ema_200,13.2625
PETRONET.NS,ret_1,0.0406
PETRONET.NS,ret_5,0.0474
PETRONET.NS,ret_10,0.0748
TORNTPOWER.NS,rsi,0.0527
TORNTPOWER.NS,atr,16.6666
TORNTPOWER.NS,ema_20,26.4824
TORNTPOWER.NS,ema_50,26.4162
TORNTPOWER.NS,ema_200,30.0229
TORNTPOWER.NS,ret_1,0.0866
TORNTPOWER.NS,ret_5,0.1141
TORNTPOWER.NS,ret_10,0.1139
TATAELXSI.NS,rsi,0.3203
TATAELXSI.NS,atr,1.2245
TATAELXSI.NS,ema_20,5.2593
TATAELXSI.NS,ema_50,8.4724
TATAELXSI.NS,ema_200,11.8106
TATAELXSI.NS,ret_1,0.2617
TATAELXSI.NS,ret_5,0.3144
TATAELXSI.NS,ret_10,0.4212
ASTRAL.NS,rsi,0.1539
ASTRAL.NS,atr,0.3399
ASTRAL.NS,ema_20,15.5115
ASTRAL.NS,ema_50,15.8222
ASTRAL.NS,ema_200,23.1765
ASTRAL.NS,ret_1,0.0758
ASTRAL.NS,ret_5,0.1652
ASTRAL.NS,ret_10,0.1508
NYKAA.NS,rsi,0.5096
NYKAA.NS,atr,5.1408
NYKAA.NS,ema_20,10.0625
NYKAA.NS,ema_50,12.663
NYKAA.NS,ema_200,12.0519
NYKAA.NS,ret_1,0.104
NYKAA.NS,ret_5,0.2516
NYKAA.NS,ret_10,0.3609
PGEL.BO,rsi,0.1254
PGEL.BO,atr,26.3695
PGEL.BO,ema_20,31.0696
PGEL.BO,ema_50,37.2423
PGEL.BO,ema_200,37.2423
PGEL.BO,ret_1,0.1353
PGEL.BO,ret_5,0.0659
PGEL.BO,ret_10,0.1286
OFSS.NS,rsi,0.2454
OFSS.NS,atr,12.1554
OFSS.NS,ema_20,18.9632
OFSS.NS,ema_50,15.6859
OFSS.NS,ema_200,15.2519
OFSS.NS,ret_1,0.0509
OFSS.NS,ret_5,0.1219
OFSS.NS,ret_10,0.1455
AUROPHARMA.NS,rsi,0.542
AUROPHARMA.NS,atr,1.8902
AUROPHARMA.NS,ema_20,12.1345
AUROPHARMA.NS,ema_50,11.9772
AUROPHARMA.NS,ema_200,12.003
AUROPHARMA.NS,ret_1,0.0306
AUROPHARMA.NS,ret_5,0.0878
AUROPHARMA.NS,ret_10,0.1499
SBICARD.NS,rsi,0.0536
SBICARD.NS,atr,5.4633
SBICARD.NS,ema_20,8.2262
SBICARD.NS,ema_50,11.8813
SBICARD.NS,ema_200,26.6301
SBICARD.NS,ret_1,0.167
SBICARD.NS,ret_5,0.1481
SBICARD.NS,ret_10,0.1088
INDHOTEL.NS,rsi,0.049
INDHOTEL.NS,atr,18.8221
INDHOTEL.NS,ema_20,30.2449
INDHOTEL.NS,ema_50,30.3326
INDHOTEL.NS,ema_200,37.2489
INDHOTEL.NS,ret_1,0.1176
INDHOTEL.NS,ret_5,0.1543
INDHOTEL.NS,ret_10,0.2156
NMDC.NS,rsi,0.1NMDCNMDC.NS,atr,6.9217
NMDC.NS,ema_20,19.9782
NMDC.NS,ema_50,19.4244
NMDC.NS,ema_200,20.226
NMDC.NS,ret_1,0.0467
NMDC.NS,ret_5,0.0337
NMDC.NS,ret_10,0.1266
PGEL.NS,rsi,0.0918
PGEL.NS,atr,23.6199
PGEL.NS,ema_20,30.8749
PGEL.NS,ema_50,37.2489
PGEL.NS,ema_200,37.2489
PGEL.NS,ret_1,0.0915
PGEL.NS,ret_5,0.0644
PGEL.NS,ret_10,0.1192
LAURUSLABS.NS,rsi,0.439
LAURUSLABS.NS,atr,0.7071
LAURUSLABS.NS,ema_20,0.9252
LAURUSLABS.NS,ema_50,0.827
LAURUSLABS.NS,ema_200,5.6753
LAURUSLABS.NS,ret_1,0.0269
LAURUSLABS.NS,ret_5,0.0563
LAURUSLABS.NS,ret_10,0.1356
IDEA.NS,rsi,0.1622
IDEA.NS,atr,0.2263
IDEA.NS,ema_20,2.2041
IDEA.NS,ema_50,5.5015
IDEA.NS,ema_200,8.8343
IDEA.NS,ret_1,0.1778
IDEA.NS,ret_5,0.0288
IDEA.NS,ret_10,0.0338
TATAPOWER.NS,rsi,0.0918
TATAPOWER.NS,atr,1.3528
TATAPOWER.NS,ema_20,19.4914
TATAPOWER.NS,ema_50,19.8342
TATAPOWER.NS,ema_200,26.3654
TATAPOWER.NS,ret_1,0.0929
TATAPOWER.NS,ret_5,0.0418
TATAPOWER.NS,ret_10,0.1501
