ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
M&M.NS,2025-09-12,2025-09-12,3589.9,0.429,True,isotonic,0.55,True,HOLD,,,87.047,63.39,2864613,Consumer Cyclical,Auto Manufacturers,,False,False,False,True,0.0242,True,True,,
COALINDIA.NS,2025-09-12,2025-09-12,394.35,0.448,True,isotonic,0.55,True,HOLD,,,5.552,62.462,4686412,Energy,Thermal Coal,,False,False,False,False,0.0141,True,True,,
TORNTPHARM.NS,2025-09-12,2025-09-12,3566.2,0.556,True,isotonic,0.45,True,HOLD,3501.38,3663.42,64.816,46.188,197074,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,False,False,False,True,0.0182,True,True,,
CANFINHOME.NS,2025-09-12,2025-09-12,746.35,0.421,True,isotonic,0.46,False,SELL,763.65,720.4,17.298,47.204,166111,Financial Services,Mortgage Finance,1.5,False,False,False,True,0.0232,True,True,,
BAJFINANCE.NS,2025-09-12,2025-09-12,1003.25,0.0,True,isotonic,0.55,True,HOLD,,,19.514,78.538,7275473,Financial Services,Credit Services,,True,True,False,True,0.0195,True,True,,
ALKEM.NS,2025-09-12,2025-09-12,5448.0,0.533,True,isotonic,0.47,True,HOLD,5355.72,5586.42,92.279,67.145,132972,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,False,False,False,True,0.0169,True,True,,
CROMPTON.NS,2025-09-12,2025-09-12,314.45,0.411,True,isotonic,0.54,False,SELL,321.33,304.13,6.877,35.496,1957400,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1.5,False,False,False,False,0.0219,True,True,,
INDUSTOWER.NS,2025-09-12,2025-09-12,361.85,0.52,True,isotonic,0.58,False,HOLD,,,9.734,59.901,11135774,Communication Services,Telecom Services,,True,False,False,False,0.0269,True,True,,
ARVIND.NS,2025-09-12,2025-09-12,326.8,0.289,True,isotonic,0.68,False,SELL,337.4,310.9,10.597,63.61,346819,Consumer Cyclical,Textile Manufacturing,1.5,False,True,False,False,0.0324,True,True,,
MARICO.NS,2025-09-12,2025-09-12,734.55,0.624,True,isotonic,0.52,True,BUY,721.63,753.92,12.915,55.439,1813720,Consumer Defensive,Household & Personal Products,1.5,False,False,True,True,0.0176,True,True,MIS,low confidence
FEDERALBNK.NS,2025-09-12,2025-09-12,194.36,0.546,True,isotonic,0.46,False,HOLD,,,3.184,46.175,5308248,Financial Services,Banks - Regional,,False,False,False,False,0.0164,True,True,,
BPCL.NS,2025-09-12,2025-09-12,318.0,0.0,True,isotonic,0.55,False,SELL,324.62,308.07,6.619,49.914,5039748,Energy,Oil & Gas Refining & Marketing,1.5,False,False,False,True,0.0208,True,True,,
